id,title,author,publish_date,duration_minutes,level,description
59fd2f67-7ffd-4cfb-9fad-9fecc9482ea3,Migrating to the Cloud for Financial Services,Stanwood Bachmann,6/14/2020,92,Advanced,"cloud migration,financial services,technology"
57d3d7b7-04d3-4ca5-aeb0-e318d1551d3a,Data Privacy and Security Regulations,Philis Dunstall,4/10/2016,176,Intermediate,"data privacy,data security,regulations,compliance"
1430dfad-9a55-4988-8173-ee1d6897dff2,Blockchain Technology Explained,Kirby Werrit,3/20/2013,117,Beginner,"blockchain,technology,cryptocurrency,distributed ledger"
5c1f1a8a-3492-4241-ab0b-ad6fd4dd1624,Building Strong Customer Relationships,Roselle Maillard,8/2/2019,172,Advanced,"customer relationships,customer service,loyalty"
242eda09-e3a6-4537-af16-31b0633c74be,Threat Intelligence and Risk Assessment,Catie Foxworthy,9/17/2013,131,Beginner,"threat intelligence,risk assessment,security"
6cf8fe2a-348e-4832-9031-d8df61b8397c,Building High-Performing Teams,Sandy McKillop,4/3/2015,138,Beginner,"teams,performance,management"
bf2d69cb-5acf-4385-88f8-80f527b99708,Effective Communication and Problem-Solving,Tannie Menicomb,3/2/2015,138,Advanced,"communication,problem-solving,conflict resolution"
8b2d6a96-a48a-47a4-a6ba-a0cf6b87e4ac,Negotiation and Persuasion Skills,Chandler Matyatin,6/8/2014,43,Intermediate,"negotiation,persuasion,skills"
4c308554-686d-44cb-b3ab-6092f5a2a1fc,Effective Leadership Styles,Gawain Andryushchenko,5/24/2020,107,Intermediate,"leadership,styles,management"
a33308d9-3c1a-48fe-8186-0863dbcbcb95,Productivity Tools and Techniques,Perla Burchnall,3/23/2017,54,Beginner,"productivity,tools,techniques"
52fef047-d5ae-4f77-b007-35e9208d5a39,Threat Intelligence and Risk Assessment,Clark Andreuzzi,1/31/2011,83,Intermediate,"threat intelligence,risk assessment,security"
4ffd6cb3-fa5a-4992-a093-78b5dbdb1a54,Cybersecurity Awareness Training,Rip Pollitt,5/27/2015,161,Intermediate,"cybersecurity,training,awareness"
6113ce29-fa7b-4ee1-b44d-1579e1de5afd,Reducing the Company's Carbon Footprint,Findley Gallie,5/24/2013,81,Advanced,"sustainability,carbon footprint,climate change"
61f68e34-f845-45ef-a7e0-8f5895fc9ce5,Data Analytics and Visualization Tools,Essy Schaffler,3/12/2018,50,Advanced,"data analytics,visualization,business intelligence"
ebc65ff3-509f-47bb-b7dc-790cafda4331,Effective Communication Skills,Kesley Heddy,1/9/2015,158,Intermediate,"communication,public speaking,negotiation,persuasion"
2320a050-bbd7-4e8b-b348-265db9169f68,Effective Communication and Problem-Solving,Myrwyn Stalman,12/26/2019,71,Beginner,"communication,problem-solving,conflict resolution"
c6731c0b-6818-4552-a224-12f060b40a15,Effective Communication Techniques,Prudi Pelham,12/29/2019,150,Intermediate,"communication,techniques,skills"
32e6fdc3-3c55-4ee9-bc8e-ea640550af73,Productivity Tools and Techniques,Demetre Ledington,4/4/2021,148,Advanced,"productivity,tools,techniques"
50242274-4a72-4570-a8e2-ddd83a47b957,Cloud Infrastructure and Architecture,Bailey Guillotin,7/15/2013,176,Advanced,"cloud computing,infrastructure,architecture"
1acdb844-3549-4cdb-9a5d-6b119fc9b797,Online Banking Security Best Practices,Prudence Blower,5/30/2014,68,Advanced,"online banking,security,best practices"
6aa0dd51-cb78-4326-8d90-c674b2db4268,Wealth Management Strategies,Kania Killick,12/2/2019,110,Intermediate,"wealth management,investment,portfolio,retirement planning,estate planning"
f7f3f18c-a30c-4656-a770-33114cd0a9ed,Cloud Computing for Financial Institutions,Mychal Oldcroft,8/16/2020,57,Intermediate,"cloud computing,financial institutions,technology"
5d170e79-106a-4403-b8c2-babd95610c88,AI-Powered Financial Tools,Horatius Maly,6/10/2013,140,Advanced,"AI,financial tools,technology"
591a935c-122d-4d4a-9df6-0f26c7f4cf20,Strategic Thinking and Planning,Wendye Climar,12/12/2016,79,Intermediate,"strategy,planning,business"
9f55b1f4-815c-4e56-a2d2-504d65ca365e,Loan Processing and Underwriting,Jedediah Coster,11/16/2014,65,Intermediate,"loans,underwriting,finance"
